id,date_of_birth,number_dependants,credit_utilization,debt_to_income_ratio,monthly_income,number_open_credit_lines,number_open_loans,number_90_days_past_due,number_charged_off,score1,score2,target
5748,1997-03-22,0,0.02518432838236323,0.35874305622733554,2000,6,4,1,0,782,658,0
5749,1951-03-29,0,0.03427907119052804,0.2924179265231971,2700,2,2,0,0,769,635,0
5751,1949-03-01,0,0.016235597411651072,0.37256539271798605,2000,6,2,1,0,692,662,0
5752,1985-01-26,0,0.050222197529321326,0.18797901804625244,2200,5,1,0,0,756,769,0
5753,1943-10-31,0,0.04171861774482889,0.439059462038285,2200,3,3,0,0,714,736,0
5754,1959-04-22,0,0.02547136137713492,0.2243214080064017,2000,5,1,0,0,500,748,1
5755,1998-11-18,0,0.07793112155750063,0.19304109521367818,2600,2,0,0,0,820,560,0
5756,1949-09-24,0,0.026285522677352284,0.2612838579049224,2000,2,0,0,0,679,559,0
5757,1956-05-28,0,0.08076317937073647,0.5932204973973977,2200,7,1,1,0,580,584,0
5758,1935-12-25,1,0.057589882620357025,0.30246638577040963,2200,8,3,0,0,551,727,1
5759,1997-08-12,0,0.004132497880666846,0.5003810173010944,2400,2,1,0,0,535,609,0
5760,1962-10-15,1,0.002118645975815586,0.1660513777564854,2700,2,2,0,0,811,508,0
5761,1959-07-01,0,0.0764336208188421,0.27720801232151376,2600,3,2,1,1,621,657,0
5762,1958-09-03,0,0.047204974110237365,0.2845456155217551,2200,4,1,0,0,518,695,0
5763,1954-01-15,0,0.014456155754112117,0.4326799688161325,2000,6,0,0,0,568,707,0
5764,1957-06-18,1,0.06033931560794941,0.272278556801532,2000,5,2,0,0,768,761,0
5765,1982-11-26,0,0.023626770771420162,0.5505430406628782,2200,7,1,0,0,805,725,0
5766,1989-02-03,0,0.0493427779909297,0.2897735633491353,2000,3,1,0,0,581,574,0
5767,1964-07-09,2,0.02264065027229803,0.44932320947530074,2000,6,3,0,0,764,688,0
5768,1936-06-26,0,0.0948061972700772,0.43944893289183545,2100,4,2,0,0,778,586,0
5769,1999-03-16,1,0.03338264532288728,0.23676778110381852,2100,4,4,0,0,793,611,0
5770,1989-09-27,0,0.013621503447828701,0.2206224027124118,2600,7,1,0,0,613,506,0
5771,1975-04-28,0,0.048990860815134915,0.37506929380830295,2500,5,2,0,0,531,712,0
5772,1995-11-07,1,0.09275584714151894,0.657515926579006,2300,6,2,0,0,658,541,0
5773,1937-11-05,0,0.098390944568696,0.5933443050915694,2000,4,3,0,0,830,809,0
5774,1938-04-12,0,0.04022916023098723,0.16136796992737215,2800,6,3,0,0,579,730,0
5775,1962-06-23,0,0.07211338529975307,0.40926406786022174,2500,2,4,0,0,827,665,0
5776,1989-02-05,0,0.0021921190708775926,0.1910461409257968,2100,4,2,0,0,743,551,0
5777,1966-09-15,2,0.0016777024397592114,0.3947925386137488,2000,5,2,0,0,625,574,0
5778,1991-05-13,0,0.02148630978119092,0.28830585583770907,2500,5,3,1,0,658,687,0
5779,1938-10-28,0,0.05648450065890762,0.3602540520247028,2200,4,1,0,0,788,796,0
5780,1994-11-07,0,0.01448800957238862,0.30144749455501024,2000,5,2,0,0,838,608,0
5781,1990-06-06,0,0.04049339074432663,0.4904356456871018,2200,7,2,0,0,780,710,0
5782,1973-02-16,1,0.22897497854703752,0.40781188612224656,2700,2,2,0,0,761,775,0
5783,1982-06-06,0,0.04481115612682087,0.4932048712874644,2200,7,3,0,0,750,689,0
5784,1945-02-19,0,0.008371518453378357,0.44189557299034543,2200,4,1,0,0,534,627,1
5785,1991-10-26,0,0.1002760065451166,0.30005626132509655,2300,1,0,0,0,824,791,0
5786,1986-04-07,0,0.004801729910527275,0.21708415501544012,2200,4,1,0,0,800,546,0
5787,1944-09-25,1,0.0680945075364384,0.4327292081106378,2400,1,1,0,0,631,693,0
5788,1970-08-07,0,0.01215531897529587,0.4025867577234385,2600,4,0,0,0,522,631,0
5789,1996-10-27,0,0.033980922050848954,0.2287088157760784,2200,2,2,0,0,596,741,0
5790,1969-09-20,0,0.01536978514791083,0.09172180214220844,2100,3,2,0,0,773,835,0
5791,1935-02-26,3,0.06830809980748372,0.5754698496060328,2200,4,0,0,0,761,615,0
5792,1992-12-27,1,0.04122480152712159,0.11749678504375233,2000,6,1,0,0,831,505,0
5793,1949-01-19,-1,0.00936979244966541,0.21867011987927076,2200,4,2,1,0,704,671,0
5795,1951-01-07,0,0.21702170169801932,0.22628595381101488,2100,2,4,0,0,581,597,0
5796,1960-09-14,0,0.038492745363956984,0.4191685280523778,2700,2,1,0,0,712,788,0
5797,1954-09-20,0,0.21908611733436464,0.3894055854217084,2000,5,3,0,0,782,584,0
5798,1961-01-12,1,0.014169095219691693,0.3737606985082297,2000,6,2,0,0,801,834,0
5799,1978-05-20,1,0.014885660565931488,0.31050924544294933,2200,3,1,0,0,723,590,0
5800,1966-01-27,3,0.08123850736071135,0.49470915893799483,3300,2,0,0,0,668,800,0
5801,1980-06-09,0,0.003989177089425313,0.42451642945185947,2000,8,4,0,0,595,635,0
5802,1943-01-20,1,0.05217098607825781,0.3485509572378814,2300,6,0,0,0,550,586,0
5803,1992-07-29,0,0.13970258413388814,0.4571102094867731,2500,4,3,0,0,506,699,0
5804,1951-02-16,2,0.043964274198792494,0.4237739069890336,2100,9,3,0,0,520,654,1
5805,1998-08-11,0,0.008762939144513631,0.4206994972958329,2800,6,2,0,0,731,508,0
5806,1933-01-29,1,0.004102176915591414,0.2844156988298802,2000,3,1,0,0,810,640,0
5807,1978-04-06,0,0.0070637220540233706,0.4552286529792722,2800,4,1,0,0,757,624,0
5808,1958-06-24,1,0.044628162706209985,0.28425587751144804,2100,5,4,0,0,619,698,0
5809,1978-07-22,0,0.009737241562256022,0.40342054274031275,2400,7,2,0,0,661,753,0
5810,1967-04-23,1,0.06897048579198897,0.263327252617065,2200,1,6,0,0,701,690,0
5811,1984-07-28,0,0.36324938949321295,0.11709927734907716,2200,6,1,0,0,599,693,0
5812,1969-07-27,1,0.03758101554624041,0.24939043016971038,2600,4,2,0,0,512,623,0
5813,1978-06-11,1,0.05601282070089745,0.19171458123560628,2100,1,3,1,0,569,710,1
5814,1954-05-22,1,0.006886118111076028,0.47482437284641266,2300,11,5,0,0,655,697,0
5815,1939-12-17,0,0.03347126950478754,0.31929073508411887,2000,4,3,0,0,626,540,0
5816,1941-08-14,1,0.10177404769605672,0.5386863528858867,2000,4,0,0,0,730,710,0
5817,1933-08-07,1,0.010899263883003033,0.415876754034504,2300,7,1,0,1,703,564,0
5818,1941-04-26,1,0.0026458866742042663,0.25003136689345845,2800,3,3,0,0,537,637,0
5819,1949-05-12,1,0.0023610716183618983,0.30737100420499175,2000,1,0,0,0,827,818,0
5821,1966-12-12,1,0.06169256103151481,0.45296982717709994,2500,3,2,0,1,723,607,0
5822,1963-07-06,0,0.051339446346063675,0.0727023832889585,3900,6,1,1,0,508,705,0
5823,1954-04-06,1,0.02775516806915036,0.40787664196857054,2100,3,1,0,0,726,833,0
5824,1984-08-19,0,0.016915998396970763,0.2627284950135629,2700,4,1,0,0,582,776,0
5825,1946-10-15,1,0.016622582119054156,0.4501035778594988,2300,12,3,0,0,683,599,0
5826,1978-12-17,0,0.07779183692931399,0.5690728117791585,2100,4,2,0,0,650,732,0
5827,1970-10-24,0,0.006099977551866609,0.43476154206681955,2000,10,2,1,0,688,596,1
5828,1953-03-10,0,0.03349608187844335,0.38710044285270095,2100,2,4,0,0,599,503,1
5829,1951-03-01,0,0.05065434181466364,0.31192305719722696,2000,4,2,0,0,545,518,1
5831,1939-01-12,1,0.08600961598155653,0.16064737010483354,2100,4,1,1,0,600,511,0
5832,1984-03-11,0,0.029421664334151998,0.37391896074174896,2000,3,3,0,0,523,564,0
5833,1955-01-29,2,0.08734417968787994,0.226485703690959,2900,6,2,0,0,584,744,0
5834,1985-10-31,1,0.06076192805139992,0.36610753424909664,3100,8,1,0,0,751,651,0
5836,1936-03-19,1,0.12648564865177697,0.22261604504015858,2000,10,2,0,0,573,540,1
5837,1998-11-27,1,0.018101620502748328,0.43260892149267427,2100,3,2,0,0,746,746,0
5838,1963-12-12,2,0.049983753619519,0.519797026557612,2300,7,0,0,0,697,789,0
5839,1990-11-28,3,0.034159192961134434,0.2656887219900281,2500,4,2,0,0,758,616,0
5840,1928-08-14,1,0.08966783250107152,0.465870719431806,2100,3,2,0,0,779,689,0
5841,1941-07-13,0,0.024367759922084956,0.2802579767083442,2800,6,2,0,1,709,750,0
5842,1965-12-09,0,0.022758073895130033,0.38675823731355746,2200,6,3,0,1,515,658,0
5843,1935-09-04,0,0.0572280108402279,0.44453553858913125,2100,1,2,0,0,740,780,0
5844,1997-06-27,0,0.06260854739957736,0.4464403737304005,2500,8,3,0,0,700,706,0
5845,1946-05-10,0,0.009954949225220876,0.3056016944586255,2600,2,1,0,1,635,553,0
5846,1931-08-19,0,0.07960569750099568,0.2625023313808048,2300,4,2,0,0,795,771,0
5847,1958-10-13,0,0.07036410703768946,0.51250659438084,2700,3,4,0,1,646,547,0
5848,1978-04-10,0,0.020130887011925426,0.22511370660348534,2100,5,6,0,0,745,775,0
5849,1962-07-26,0,0.016070441320990635,0.22209768167380747,2000,3,1,0,0,515,509,0
5850,1962-11-14,0,0.10725155832170771,0.15022687337126203,2000,4,1,0,0,588,728,1
5851,1941-10-06,0,0.01590813302166191,0.6101984872273399,2200,8,2,0,0,596,755,0
5852,1986-04-30,1,0.03557459140506045,0.4239040414602671,2800,4,5,0,0,809,657,0
5853,1941-05-31,0,0.04104205284690588,0.16438456408783608,2100,7,2,0,0,794,536,0
5854,1994-05-13,0,0.12365241777985674,0.23082983945542507,2100,7,2,0,0,668,514,0
5855,1961-08-03,0,0.03892705071108686,0.3214390219905214,2600,6,1,0,0,655,769,0
5856,1967-08-04,0,0.000898011173922784,0.14093918424244747,2100,4,0,0,0,803,827,0
5857,1960-04-01,0,0.05338275795626441,0.4533554660781087,2500,4,1,0,1,837,755,0
5858,1939-04-21,1,0.0748191006219279,0.17457314691877507,2000,6,0,0,0,650,775,0
5859,1963-09-02,0,0.025311534481350376,0.098181731514417,2000,9,3,0,0,583,717,1
5860,1996-11-02,0,0.01820455663021442,0.42933849061754753,2400,5,4,0,0,631,749,0
5861,1933-08-30,0,0.08679787920948387,0.5567520924619193,2200,3,1,0,1,656,641,0
5862,1955-08-10,1,0.002323916284832105,0.276355581261272,2000,7,2,0,0,521,633,0
5863,1944-07-25,0,0.001969126089615538,0.1521253070557833,2200,7,1,1,0,683,700,0
5864,1985-10-10,1,0.02059557892614792,0.2513517618434889,2000,2,1,1,0,791,828,0
5865,1949-05-22,-1,0.06502927393891042,0.6028395625651668,2100,6,1,0,0,733,638,0
5866,1929-05-24,0,0.19398267550110426,0.36900886039746894,2900,8,1,0,0,814,765,0
5867,1949-12-10,0,0.011038805308900763,0.4000751687810083,3000,9,3,0,1,662,587,0
5868,1967-09-18,2,0.1188182093510747,0.41121654842468625,2200,6,3,0,0,521,519,0
5869,1972-08-03,1,0.00427098782067815,0.2535193724617239,2700,4,1,0,0,834,828,0
5870,1977-04-21,0,0.0702569954454541,0.2413940399703572,2600,3,1,0,0,512,598,0
5871,1966-07-07,0,0.08651995581583904,0.37501317653738975,2400,5,3,0,0,725,814,0
5872,1929-01-23,1,0.01670825130044147,0.1082246231865711,2800,6,6,0,0,663,533,0
5873,1995-08-17,0,0.05594713791195542,0.19339801458799133,2500,4,3,0,0,825,702,0
5874,1958-11-11,0,0.027496090815563735,0.5207763346710185,2100,3,2,1,1,805,746,0
5875,1994-11-24,0,0.00631101382812478,0.5258392746649113,2100,8,0,0,0,612,684,0
5876,1967-02-16,1,0.021354706693039724,0.21379986652828745,2000,4,3,1,0,802,658,0
5877,1960-03-07,1,0.0753823841059283,0.4135783708499993,2000,9,2,0,0,500,825,1
5878,1954-02-09,0,0.07379361383331524,0.24684668615828817,3200,3,3,0,0,645,752,0
5879,1979-09-06,1,0.02617322518415447,0.3149565370264135,2500,5,6,0,0,779,741,0
5880,1929-11-25,0,0.1756553402782444,0.35078353058731787,2000,8,3,0,0,798,774,0
5881,1959-06-03,1,0.03395514816616849,0.4528535419225601,2000,9,1,0,0,722,508,0
5882,1940-02-11,1,0.038833969661267745,0.18305468355608054,2200,4,1,0,0,682,636,0
5883,1966-07-03,0,0.028188896373504278,0.25739106826834546,2100,1,2,0,0,655,604,0
5884,1994-03-16,2,0.024715392753277648,0.2524232081645055,2000,6,2,0,0,638,548,0
5885,1991-04-21,1,0.05297394667685236,0.19590349726298348,2100,1,3,0,0,790,653,0
5886,1943-06-26,0,0.10928013619355312,0.1725752257164083,2100,4,3,0,0,565,554,0
5887,1982-04-14,2,0.10486073914485995,0.3000666288534034,2400,3,2,0,0,624,663,0
5888,1989-04-25,0,0.006751569123997397,0.2695275001859187,2000,5,5,0,0,574,734,0
5889,1937-12-09,0,0.12154459629925124,0.5769582956939394,2100,2,2,0,0,580,575,0
5890,1987-06-13,0,0.027521356782056052,0.5021172789212793,2200,5,0,0,0,682,545,0
5891,1935-11-25,0,0.03650709583607592,0.5987672673898812,2100,5,1,0,0,629,774,0
5892,1986-11-14,1,0.015881309949758598,0.12323163159604753,2400,5,1,0,0,570,760,1
5893,1955-07-01,0,0.01867823856549813,0.3014407410973057,2400,5,2,1,0,701,573,0
5894,1958-07-30,0,0.03983948920295486,0.2000275367021282,3000,3,1,0,0,599,694,0
5895,1961-05-13,0,0.07036655269907577,0.46039099885380663,3000,4,0,0,0,758,786,0
5896,1968-01-08,1,0.08003694781188403,0.5428923117333108,2000,2,2,0,0,779,825,0
5897,1959-10-22,0,0.02005958873106372,0.39352538482638544,2400,9,1,0,0,599,642,0
5898,1950-09-22,0,0.001495182780079665,0.43283957395454725,2000,4,2,1,0,576,791,0
5900,1978-03-04,0,0.006010699705727567,0.3214969049558725,2000,2,0,0,0,514,593,1
5901,1984-09-09,2,0.039864913921657294,0.3093174044837904,2000,5,1,0,0,512,819,1
5902,1980-04-16,0,0.01791801046892331,0.5157694309503087,2300,4,2,0,0,666,619,1
5903,1996-02-24,0,0.0038661800706520423,0.2691277448082775,2300,10,1,0,0,678,744,0
5904,1992-11-27,0,0.09419882758951933,0.5012000981451797,2700,6,3,0,0,652,704,0
5905,1992-07-23,2,0.04646110919025573,0.42182786964905106,2000,6,2,0,0,505,517,0
5906,1937-03-28,0,0.0006871342547957783,0.32054879430454425,2000,7,4,0,0,689,500,1
5907,1972-09-22,1,0.07593048898931026,0.21430213807541346,2100,2,2,0,0,575,762,0
5908,1977-05-19,0,0.009225215811391569,0.1997064573889585,2300,2,0,0,0,504,671,0
5909,1949-08-16,0,0.060957075507863195,0.22476865474316887,2100,4,2,0,0,689,738,0
5910,1974-01-27,0,0.026032361147176632,0.2717090035129642,2200,7,2,0,0,711,643,0
5911,1988-12-04,2,0.020294692853050682,0.24154756414866094,2200,5,4,0,0,788,635,0
5912,1980-11-30,0,0.10279247045415361,0.3210438887764717,2600,6,1,0,0,701,809,0
5913,1969-01-26,0,0.03250969990374188,0.20479155287808157,2400,6,2,0,0,594,759,0
5914,1961-02-11,0,0.04026324340141215,0.3753107592698138,2000,8,0,0,1,741,630,0
5915,1998-05-16,0,0.03495955092639473,0.4890436753602646,2200,1,3,0,0,585,584,0
5917,1941-10-23,0,0.04099104848381002,0.4735346332040134,2300,6,1,0,0,742,560,0
5918,1988-03-05,0,0.10279477717959666,0.5415159323200067,2100,10,2,0,0,714,731,0
5919,1987-12-17,0,0.10520803143636176,0.3405203985395261,2000,2,0,1,0,553,642,0
5920,1933-04-02,0,0.008775805949624993,0.4988226147171721,2500,4,0,0,0,837,635,0
5921,1935-06-28,0,0.16266092673062765,0.42600499156643795,2000,8,4,0,1,758,580,0
5922,1960-04-22,0,0.010206283731967561,0.08661346321868721,2000,4,2,0,0,628,692,1
5923,1993-08-09,0,0.0036642412316793996,0.3977454031031825,2100,7,0,0,0,827,682,0
5924,1930-12-04,0,0.022740864856543874,0.4410385264742846,2300,4,2,0,0,594,516,0
5925,1989-09-03,0,0.03420455395158678,0.38051603157373015,2100,7,1,0,0,728,680,0
5926,1936-06-16,0,0.0008022293486269588,0.3425945602287659,2200,3,1,0,0,542,703,0
5927,1947-01-15,0,0.1836312730475693,0.20926699418183076,2000,3,3,0,1,787,604,0
5928,1989-11-02,0,0.004994410694549015,0.43803505638365653,2200,3,7,0,0,663,692,0
5929,1995-01-06,0,0.03704249222214639,0.13984035591541782,2100,5,0,0,0,674,673,0
5930,1997-04-27,0,0.01715531669105143,0.43496328193668565,2000,5,1,0,0,789,677,1
5931,1934-02-23,0,0.0641376313909388,0.37847039371888724,2500,5,4,0,0,729,657,0
5932,1933-11-01,-1,0.03545150195468435,0.25989905701584215,2600,4,2,0,0,548,577,1
5933,1957-10-11,0,0.08537759805503956,0.3074920612730874,2800,9,2,0,0,687,656,0
5934,1993-12-30,0,0.007858295086019831,0.3240340184909763,2100,4,1,0,0,562,640,0
5935,1936-01-24,0,0.0059238358671999765,0.14683022632078208,2300,7,4,1,0,547,631,1
5936,1967-04-10,0,0.013934683784681153,0.3380007003404862,2700,6,0,0,0,776,548,0
5937,1929-08-03,2,0.16192408091906157,0.4575494996437713,2800,6,2,0,1,636,577,0
5938,1933-12-22,2,0.02547165108089749,0.36561557574300496,2600,10,3,0,0,704,610,0
5939,1975-07-27,0,0.19594495260279135,0.5100353836314433,2800,4,2,0,0,597,774,0
5940,1953-12-15,0,0.023272020059203372,0.27004260084413884,2000,5,2,0,0,807,799,0
5941,1990-07-21,0,0.00696885589346948,0.4756020635698981,2300,4,2,0,0,827,588,1
5942,1949-02-19,1,0.0037604011223914104,0.13426806565777713,2100,2,0,1,0,827,815,0
5943,1981-03-25,0,0.06501008644784145,0.30006602894655754,2600,6,3,0,1,749,779,0
5944,1996-04-28,1,0.067726828817513,0.3344245247935239,2200,7,5,0,0,521,653,0
5945,1972-08-15,1,0.009428934925870077,0.45381622713855446,2600,5,1,1,0,557,562,0
5946,1928-12-05,0,0.1237491798309001,0.4183643718859499,2700,11,3,0,0,727,518,0
5947,1948-01-08,1,0.01963096957004685,0.5593859185379105,2200,6,0,0,0,821,533,1
5948,1973-12-21,1,0.04776092489060666,0.36153144945194965,2500,2,1,0,0,676,617,0
5949,1971-09-05,0,0.03462410771862889,0.5474744674689148,2000,5,1,0,0,703,517,0
5950,1953-05-07,0,0.00723072037607772,0.38062384307826735,2400,7,2,0,0,726,772,0
5951,1979-05-03,3,0.03363886950688122,0.45766962226157004,2000,2,3,0,0,626,604,0
5952,1935-01-09,0,0.004171100864604085,0.2419187417775571,2100,3,4,0,0,586,668,0
5953,1944-02-08,0,0.005439764973569067,0.2235808464327369,2000,3,1,0,0,757,613,0
5954,1939-05-08,0,0.013829393111761646,0.33816811124888946,2100,3,2,0,0,607,628,0
5955,1961-12-22,1,0.014313478670207594,0.2057506422289827,2500,3,0,0,0,532,832,0
5956,1935-09-08,1,0.004507129657060269,0.3356411931318089,2000,6,0,0,1,541,596,1
5957,1971-03-20,2,0.06118028738733489,0.30065753393846567,2400,2,4,0,0,598,505,0
5958,1940-07-07,0,0.0018212803561261847,0.26494659933637066,2000,5,2,0,0,578,817,0
5959,1998-04-13,0,0.05585395212506792,0.2044824402110971,2000,2,1,1,0,732,610,0
5960,1931-02-28,0,0.016619238000552195,0.49890672780171563,2200,4,2,0,0,562,714,0
5961,1967-09-20,-1,0.0587481445160188,0.416057739827012,2000,9,2,0,0,797,773,0
5962,1954-12-10,0,0.058564129401780914,0.24653494706243897,2200,5,1,0,0,825,548,0
5963,1973-12-12,3,0.039824031191321226,0.21128340281213562,2100,6,4,1,0,792,814,0
5964,1937-01-20,0,0.065319155278177,0.3972130175444786,2900,5,0,0,0,825,614,0
5965,1994-12-10,1,0.2041249272232393,0.3019151302190772,2600,8,0,0,0,817,689,0
5966,1959-05-07,1,0.040307379836734394,0.12494122484893581,2000,5,4,0,1,718,737,0
5967,1971-03-17,1,0.03287002068192567,0.43668623550622604,2000,2,2,0,0,810,751,0
5968,1991-01-28,1,0.0703271580742986,0.17774161793986473,2000,3,3,0,0,611,523,0
5969,1936-09-14,0,0.04587878448187785,0.28981411566325654,2300,4,3,0,0,670,791,0
5970,1959-02-06,0,0.027367812637484557,0.2074844849833867,2000,4,1,0,0,520,800,0
5971,1941-07-23,0,0.01155459923928118,0.2963887793525993,2100,6,2,0,0,548,580,0
5972,1974-01-12,0,0.0584398012944075,0.42599735348287104,2100,5,2,0,0,740,614,0
5973,1978-01-25,2,0.028547942072179856,0.33478682564202145,2700,5,4,0,0,799,590,0
5974,1995-07-12,0,0.07297880181747175,0.26788368154030806,2000,3,2,0,0,712,656,0
5975,1949-08-06,1,0.08484033625708293,0.5536905086041756,2100,3,2,0,0,626,651,0
5976,1945-07-26,0,0.02699217054878649,0.24170929344049982,2200,4,0,0,0,505,659,1
5977,1961-11-06,0,0.006226811831497656,0.40273692076809503,2400,6,0,1,0,678,766,0
5979,1969-10-04,0,0.010164178434689775,0.17754984076213137,2000,5,4,0,0,512,565,0
5980,1962-08-22,0,0.01866564913333979,0.12676424700712258,2000,9,0,0,0,599,724,0
5981,1943-11-25,-1,0.04608495713449393,0.15381174847368795,2100,4,4,0,0,736,776,0
5982,1982-03-08,1,0.05998759075324788,0.2431111924198429,3300,7,2,0,0,620,748,0
5983,1967-05-30,0,0.15408523130478172,0.18272079533351734,3400,7,3,1,0,797,772,0
5984,1944-08-06,0,0.057196876369345534,0.1297582262913709,2200,4,1,0,0,620,724,0
5985,1996-09-17,1,0.053441446923264795,0.3368746474842048,2300,4,2,1,0,768,627,0
5986,1929-01-11,1,0.04055059633588341,0.4216817082779321,2000,11,4,0,1,686,683,0
5987,1980-10-02,1,0.06086503467748197,0.37990189836756383,3300,5,1,0,0,677,626,0
5988,1949-10-10,0,0.016582435316760395,0.4037840632992949,2000,3,0,0,0,710,776,0
5989,1988-02-12,0,0.030292605375839245,0.3271238619859505,2400,1,1,1,0,699,617,0
5990,1936-05-01,0,0.027366306527323806,0.3690629202435292,2000,8,2,0,0,833,825,0
5991,1989-12-07,1,0.05288190389536466,0.28160944546769756,2200,5,0,0,0,732,695,0
5992,1955-01-04,0,0.08282988198733884,0.4378998709480434,2000,8,1,0,0,577,584,0
5993,1952-06-25,1,0.019526799448776402,0.3981936269450647,2000,5,4,0,1,781,578,0
5994,1936-08-19,0,0.058939704828554554,0.5855491341080966,4000,6,2,0,0,757,777,0
5995,1928-09-18,0,0.02022352531833273,0.3373018929167117,3100,5,1,0,0,675,625,0
5996,1982-11-11,0,0.0019205509874087136,0.13887484950406556,3100,2,3,0,0,711,613,0
5997,1952-09-04,0,0.014192182245677344,0.4933568636818211,2100,6,1,0,0,770,625,0
5998,1948-07-20,3,0.028217996493529345,0.16193052891377824,2800,10,2,0,0,787,502,0
5999,1988-05-05,0,0.1129519341650612,0.5217589315214545,2400,4,1,0,1,563,528,0
6000,1945-12-30,1,0.03679713450952428,0.4815993926919616,2100,6,1,0,0,606,522,0
6001,1995-06-12,0,0.05336046320733767,0.2610018899960701,3100,6,4,0,0,824,596,0
6002,1966-07-30,1,0.1554032191978395,0.33896170576188883,2500,7,3,0,0,520,791,0
6003,1954-07-26,2,0.0052597204784449215,0.1344373765030945,2000,2,2,0,0,625,505,0
6004,1943-02-01,0,0.004137012101757337,0.23329688237954005,2600,4,0,0,0,607,620,0
6005,1989-09-12,0,0.059504652578950046,0.5909716362726621,2200,6,2,0,0,766,750,0
6006,1954-01-17,0,0.006847762813183458,0.3010442702799625,2400,4,2,0,0,695,672,0
6007,1986-03-09,0,0.021771766868052014,0.5060222323357508,3200,4,1,1,1,545,546,0
6008,1933-11-16,1,0.04651803275360688,0.35034664920695036,2000,1,2,0,0,548,575,0
6009,1939-08-23,-1,0.008846542775754238,0.4053073381315943,2400,5,1,0,0,814,706,0
6010,1936-11-24,1,0.06707634602572095,0.32464219176944925,2300,8,1,0,0,740,810,0
6011,1944-02-15,0,0.00763326931015509,0.30368545414201664,2300,3,0,0,0,734,731,0
6012,1966-07-15,0,0.056451669221396564,0.4953312596522057,2500,3,0,1,0,806,522,0
6013,1943-02-11,0,0.020654577036762815,0.5493342616420307,3100,5,3,0,0,631,581,0
6014,1989-12-26,1,0.019054111114363323,0.4691923396208455,2100,3,3,0,0,595,638,0
6015,1930-12-14,0,0.049970646143570385,0.1672251124160873,2100,7,4,0,1,688,566,0
6016,1984-07-31,0,0.07772557832764841,0.38476948972616115,2100,7,2,0,0,818,756,0
6017,1974-08-30,2,0.08010105725240742,0.176113772437332,2100,1,1,0,0,703,737,0
6018,1987-04-12,1,0.012327370629585464,0.22219277554925745,2600,10,2,0,0,739,558,0
6020,1946-09-14,0,0.005220945630808563,0.5475586901326075,2100,7,3,0,0,722,632,0
6021,1948-11-21,2,0.016661778342391215,0.3075892795881399,2200,2,0,0,0,505,547,1
6022,1987-06-08,2,0.049200026139023474,0.2823043366738118,2000,3,1,0,0,530,790,0
6023,1972-10-28,1,0.018650005579528554,0.5080955932859821,2200,3,1,0,0,511,772,0
6024,1992-06-17,0,0.042332153089957344,0.4536589969542233,2000,3,1,0,0,773,741,0
6025,1974-06-09,1,0.000939760288874506,0.30870365657358095,2000,7,2,0,0,804,709,0
6026,1941-07-28,0,0.08632070719580602,0.39774149355130106,2200,3,2,0,0,793,618,0
6027,1934-06-12,0,0.014399281811564716,0.21092638196576405,2200,7,2,0,0,789,746,0
6028,1931-02-18,1,0.22035148126844054,0.4869569122402828,2000,6,2,0,1,586,723,0
6029,1981-07-24,1,0.037469996713630604,0.2691648662870053,2000,6,2,0,0,540,660,0
6030,1988-10-03,0,0.028226660238482724,0.5551830243083332,2000,3,2,0,0,585,592,0
6031,1968-01-31,2,0.044722076171768245,0.3136940616237573,2200,2,0,0,0,714,523,0
6032,1995-07-07,1,0.0206284229084472,0.2572177059389478,2000,3,0,0,0,553,524,1
6033,1966-08-08,0,0.14430218104716683,0.4061779404500007,2000,7,2,0,0,818,688,0
6034,1939-01-07,0,0.012301092035600099,0.5469507964403342,2100,2,2,0,0,693,704,0
6035,1940-05-08,0,0.07887754852637284,0.4739259315396553,2700,5,1,0,0,780,733,0
6036,1931-01-19,0,0.041670575767378495,0.3794037131112959,2100,4,2,0,0,798,598,0
6037,1985-07-04,0,0.015085503958317195,0.28136070554685144,2000,9,2,0,1,539,802,0
6039,1949-05-21,1,0.045205198786295496,0.16423262692919957,2100,2,1,0,0,720,547,0
6040,1968-09-22,0,0.0792481126194778,0.3062735057115674,2400,3,1,0,1,683,571,0
6041,1978-01-31,1,0.039505199091301645,0.2733814001920404,2000,2,1,0,0,583,677,0
6042,1973-04-15,0,0.018253299100408436,0.5282109096075561,2300,4,3,1,0,813,734,0
6043,1998-01-30,0,0.008965724395255899,0.3037603881560749,2500,2,1,1,0,550,571,0
6044,1930-06-20,0,0.05538801256532157,0.42635090972320283,2400,4,1,0,1,610,595,0
6045,1933-04-18,1,0.08208295558058808,0.32420150701775996,2000,2,2,0,0,695,747,0
6046,1938-07-04,2,0.15581638213255614,0.5206488827997261,2000,1,3,0,0,744,767,0
6047,1976-04-11,0,0.04366247516913433,0.33513629449665816,2200,6,1,0,0,557,662,0
6048,1993-01-17,0,0.018959003381808413,0.5241330750502337,2000,2,3,0,0,723,686,1
6049,1958-12-10,1,0.06692280196287133,0.21546893142243664,2000,6,4,0,1,783,573,0
6050,1945-07-06,2,0.03130317384548485,0.3419902490647407,2600,4,1,0,0,611,626,0
6051,1992-05-17,1,0.0697275116981528,0.14772682670506918,2600,8,1,0,0,734,549,0
6052,1988-11-18,1,0.023793447536258918,0.5372101243279443,2400,5,4,0,0,835,762,0
6053,1941-03-25,2,0.024978237417170576,0.09976516684532293,2000,9,0,0,0,794,679,0
